('https://image1.ljcdn.com/440100-inspection/6b573c3a-c4c0-4c40-b022-71347142fc48.jpg.296x216.jpg', '凤凰城凤仪苑经典四房', '碧桂园凤凰城凤仪苑  | 4室2厅 | 136.93平米 | 东北 | 精装 | 无电梯', '高楼层(共6层)2002年建塔楼  -  凤凰城', '280万', '单价20449元/平米')
('https://image1.ljcdn.com/440100-inspection/62d8c82e-006d-4793-91ee-e21bc8d65434.jpg.296x216.jpg', '凤凰城凤晴苑 精装两房', '碧桂园凤凰城凤晴苑  | 2室2厅 | 80.64平米 | 南 | 其他 | 有电梯', '高楼层(共22层)2002年建塔楼  -  凤凰城', '225万', '单价27902元/平米')
('https://image1.ljcdn.com/440100-inspection/5d71b3d7-89d8-4165-95b1-a0e019a6121b.jpg.296x216.jpg', '凤馨苑 南向两房带车位 适合居住', '碧桂园凤凰城凤馨苑  | 2室2厅 | 90.7平米 | 南 | 其他 | 有电梯', '低楼层(共11层)2002年建塔楼  -  凤凰城', '240万', '单价26461元/平米')
('https://image1.ljcdn.com/440100-inspection/31220785-2433-477b-bd82-fee215cfe3d3.jpg.296x216.jpg', '新康花园 南向大两房 位置安静', '新康花园  | 2室2厅 | 80.95平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)塔楼  -  新塘', '145万', '单价17913元/平米')
('https://image1.ljcdn.com/440100-inspection/8153e449-5859-44b9-8061-03c624a8b8a7.jpg.296x216.jpg', '凤凰城凤馨苑 新精装三房 南北对流', '碧桂园凤凰城凤馨苑  | 3室2厅 | 96.16平米 | 北 | 精装 | 有电梯', '高楼层(共18层)2002年建塔楼  -  凤凰城', '230万', '单价23919元/平米')
('https://image1.ljcdn.com/440100-inspection/23bbcedc-2c6c-4a36-beca-16d5fa60050c.jpg.296x216.jpg', '凤凰城凤馨苑 精装三房 对流户型', '碧桂园凤凰城凤馨苑  | 3室2厅 | 95.06平米 | 北 | 精装 | 有电梯', '高楼层(共18层)2002年建塔楼  -  凤凰城', '250万', '单价26300元/平米')
('https://image1.ljcdn.com/440100-inspection/fdc676b1-38e9-4e2c-92f2-4f740f640e2e.jpg.296x216.jpg', '豪进山湖珺璟 全新精装三房 经典实用 近地铁', '豪进山湖珺璟  | 3室2厅 | 94.79平米 | 南 | 其他 | 有电梯', '低楼层(共33层)2013年建塔楼  -  新塘', '270万', '单价28485元/平米')
('https://image1.ljcdn.com/440100-inspection/fa45a9e7-ec84-4a8e-9df6-f8ebe0fce2b0.jpg.296x216.jpg', '翡翠绿洲大户型  山景房  带入户花园', '翡翠绿洲森林半岛  | 4室2厅 | 189.59平米 | 东 | 简装 | 有电梯', '高楼层(共22层)2011年建塔楼  -  凤凰城', '440万', '单价23208元/平米')
('https://image1.ljcdn.com/440100-inspection/a04a8658-64f3-4415-ac49-9ed0d1bb44ab.jpg.296x216.jpg', '新康花园 4室2厅 265万', '新康花园  | 4室2厅 | 143平米 | 南 北 | 其他 | 无电梯', '中楼层(共5层)塔楼  -  新塘', '265万', '单价18532元/平米')
('https://image1.ljcdn.com/440100-inspection/6e9f900d-af89-43b7-959a-9ae024857eb7.jpg.296x216.jpg', '碧桂园凤凰城凤雅苑 6室2厅 966万', '碧桂园凤凰城凤雅苑   | 独栋别墅 | 6室2厅 | 345.04平米 | 北 | 其他', '5层暂无数据  -  凤凰城', '966万', '单价27997元/平米')
('https://image1.ljcdn.com/440100-inspection/51fc43f3-2e75-4e26-9487-2d9712b4e5f6.jpg.296x216.jpg', '碧桂园凤凰城凤馨苑 2室2厅 220万', '碧桂园凤凰城凤馨苑  | 2室2厅 | 85.48平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2002年建塔楼  -  凤凰城', '220万', '单价25738元/平米')
