('https://image1.ljcdn.com/440100-inspection/e0df61a8-104b-4ab7-9c42-4a78695b301f.jpg.296x216.jpg', '中层 南向 全线江景 二沙岛园景 小蛮腰夜景', '碧海湾  | 6室2厅 | 370.12平米 | 东南 | 精装 | 有电梯', '中楼层(共28层)2003年建塔楼  -  珠江新城西', '2670万', '单价72139元/平米')
('https://image1.ljcdn.com/440100-inspection/c93e1a0a-dc1f-44bc-8f4b-a2b273dc6f79.jpg.296x216.jpg', '珠委大院 安静舒适电梯三房 南向 治安管理好', '珠委大院  | 3室2厅 | 82.08平米 | 南 | 其他 | 有电梯', '中楼层(共9层)1997年建塔楼  -  天河北', '538万', '单价65546元/平米')
('https://image1.ljcdn.com/440100-inspection/beaefdcb-463c-4f81-bc22-97b9e97b9ad2.jpg.296x216.jpg', '南苑三房 居家精装修 南北通透', '骏景花园  | 3室2厅 | 103.88平米 | 南 北 | 精装 | 有电梯', '低楼层(共19层)2003年建塔楼  -  棠下', '480万', '单价46208元/平米')
('https://image1.ljcdn.com/440100-inspection/test-deef32ee-0547-4444-acb7-ed25b306a8b8.png.296x216.jpg', '华天国际广场 电梯中层 户型方正 配套齐', '华天国际广场  | 2室2厅 | 70.84平米 | 西 | 精装 | 有电梯', '中楼层(共30层)2001年建塔楼  -  龙口东', '418万', '单价59007元/平米')
('https://image1.ljcdn.com/440100-inspection/352b32e3-0804-4037-b13c-dd55dfa39f5e.jpg.296x216.jpg', '水利电力学院 南北向装修保养好 户型方正', '水利电力学院  | 2室2厅 | 67平米 | 南 北 | 简装 | 无电梯', '高楼层(共8层)1999年建塔楼  -  天润路', '339万', '单价50598元/平米')
('https://image1.ljcdn.com/440100-inspection/43002dc5-9e9f-44ed-b27f-9e14cad2d2a5.jpg.296x216.jpg', '远洋明苑 精装两房 装修保养', '远洋明苑  | 2室2厅 | 83.5平米 | 北 | 精装 | 有电梯', '高楼层(共18层)2004年建塔楼  -  东圃', '325万', '单价38923元/平米')
('https://image1.ljcdn.com/440100-inspection/2b7341a6-ed41-4076-949e-78cb95faf83c.jpg.296x216.jpg', '芳草园 自主精装 厅出阳台看花园', '芳草园  | 2室2厅 | 86平米 | 东北 | 精装 | 有电梯', '低楼层(共30层)2004年建塔楼  -  天润路', '570万', '单价66280元/平米')
('https://image1.ljcdn.com/440100-inspection/7dec7ffe-084d-45b4-b011-fbcbb41e0e49.jpg.296x216.jpg', '南兴花园 3室2厅 330万', '南兴花园  | 3室2厅 | 93.17平米 | 南 | 精装 | 有电梯', '低楼层(共12层)2004年建塔楼  -  沙太北', '330万', '单价35420元/平米')
('https://image1.ljcdn.com/440100-inspection/50d03758-ac45-4f05-aa0a-67e26cfbf7e9.jpg.296x216.jpg', '伊顿18，南向三房，采光通风好，房型方正', '天誉华庭  | 3室2厅 | 97.36平米 | 南 | 精装 | 有电梯', '高楼层(共38层)2004年建塔楼  -  龙口西', '708万', '单价72720元/平米')
('https://image1.ljcdn.com/440100-inspection/1956eba4-9b44-4e2c-871c-caa575c4ead1.jpg.296x216.jpg', '嘉宝华庭 3室2厅 680万', '嘉宝华庭  | 3室2厅 | 111.63平米 | 西南 | 其他 | 有电梯', '中楼层(共29层)2008年建塔楼  -  龙口西', '680万', '单价60916元/平米')
('https://image1.ljcdn.com/440100-inspection/test-16e8d140-d538-4b16-8c8b-963a8433c416.png.296x216.jpg', '利雅湾 方正实用3房2厅 证5年免个税 交通便利配套成熟', '利雅湾  | 3室2厅 | 91平米 | 北 | 简装 | 有电梯', '中楼层(共31层)2004年建塔楼  -  珠江新城中', '848万', '单价93187元/平米')
