('https://image1.ljcdn.com/440100-inspection/36abca9a-dbc8-4db3-8b5c-20f0a1dc5886.jpg.296x216.jpg', '嘉鸿花园金玫瑰园 2室1厅 288万', '嘉鸿花园金玫瑰园  | 2室1厅 | 69.35平米 | 东南 | 其他 | 有电梯', '中楼层(共19层)1999年建塔楼  -  金碧', '288万', '单价41529元/平米')
('https://image1.ljcdn.com/440100-inspection/5cef997a-dd82-434e-aa1d-36e0a3e22d0a.jpg.296x216.jpg', '金碧三期大三房，南向安静望花园，证过五年', '金碧花园第三金碧  | 3室2厅 | 114.66平米 | 南 | 精装 | 有电梯', '低楼层(共32层)2000年建塔楼  -  金碧', '527万', '单价45962元/平米')
('https://image1.ljcdn.com/440100-inspection/68a5cde4-0311-4916-93a9-7ee6d2986ea6.jpg.296x216.jpg', '罗马家园  南北对流三房 户型方正  保养新净', '罗马家园  | 3室2厅 | 128.56平米 | 南 | 简装 | 有电梯', '高楼层(共12层)2007年建塔楼  -  南洲', '600万', '单价46671元/平米')
('https://image1.ljcdn.com/440100-inspection/3896cbe6-7c0a-46c8-91d2-813cd94e2902.JPG.296x216.jpg', '滨江水恋，通风采光好，楼龄新净', '滨江水恋  | 3室2厅 | 122.57平米 | 西南 西北 | 精装 | 有电梯', '低楼层(共27层)2009年建塔楼  -  滨江东', '810万', '单价66085元/平米')
('https://image1.ljcdn.com/440100-inspection/6e06cfe9-414e-49ff-8121-6754b8a814ac.JPG.296x216.jpg', '保利花园 2室2厅 368万', '保利花园  | 2室2厅 | 78.18平米 | 南 | 精装 | 有电梯', '高楼层(共21层)2000年建塔楼  -  工业大道中', '368万', '单价47071元/平米')
('https://image1.ljcdn.com/440100-inspection/02b5a062-2154-495d-8efa-979f55f33bdf.jpg.296x216.jpg', '金碧花园第三金碧 3室2厅 530万', '金碧花园第三金碧  | 3室2厅 | 110.32平米 | 北 | 精装 | 有电梯', '高楼层(共32层)2000年建塔楼  -  金碧', '530万', '单价48043元/平米')
('https://image1.ljcdn.com/440100-inspection/54054064-879e-48de-8ec0-46364a1396d0.JPG.296x216.jpg', '江南西路青凤大街 2室1厅 238万', '江南西路青凤大街  | 2室1厅 | 54.54平米 | 东 | 简装 | 无电梯', '中楼层(共8层)塔楼  -  江南西', '238万', '单价43638元/平米')
('https://image1.ljcdn.com/440100-inspection/test-2e4383ba-b5c1-4c82-b9bd-b1d4c8a151ea.png.296x216.jpg', '保利花园 南向望湖 实用三房 房本过五', '保利花园  | 3室2厅 | 95.06平米 | 南 | 简装 | 有电梯', '低楼层(共11层)2000年建塔楼  -  工业大道中', '445万', '单价46813元/平米')
('https://image1.ljcdn.com/440100-inspection/d9f87733-8492-484e-94fa-a4f165942dbf.jpg.296x216.jpg', '宏宇广场 中层实用两房 户型方正', '宏宇广场  | 2室2厅 | 53.8平米 | 西南 | 精装 | 有电梯', '中楼层(共33层)2000年建塔楼  -  宝岗', '238万', '单价44238元/平米')
('https://image1.ljcdn.com/440100-inspection/88dc0df1-a7c5-42f8-98cd-5de7b2fa61fc.jpg.296x216.jpg', '鸿运花园 2室1厅 305万', '鸿运花园  | 2室1厅 | 73.98平米 | 南 | 简装 | 无电梯', '中楼层(共8层)1995年建塔楼  -  赤岗', '305万', '单价41228元/平米')
('https://image1.ljcdn.com/440100-inspection/c6e8ccce-5c02-431a-ad87-9af6c23b3e7c.jpg.296x216.jpg', '江燕花园 2室1厅 320万', '江燕花园  | 2室1厅 | 77.87平米 | 东南 | 精装 | 有电梯', '高楼层(共15层)1996年建塔楼  -  江燕路', '320万', '单价41095元/平米')
('https://image1.ljcdn.com/440100-inspection/5a61916c-305c-462d-a05f-9dfcad27999b.jpg.296x216.jpg', '晓园新村 闹中带静 交通便利双地铁', '晓园新村晓园北  | 3室1厅 | 64.5平米 | 南 | 其他 | 无电梯', '高楼层(共9层)2005年建塔楼  -  昌岗', '205万', '单价31783元/平米')
('https://image1.ljcdn.com/440100-inspection/9224fef3-cecb-4fad-8c28-a2892d8ac661.jpg.296x216.jpg', '金碧花园第一金碧 2室2厅 345万', '金碧花园第一金碧  | 2室2厅 | 78.42平米 | 北 | 精装 | 有电梯', '高楼层(共32层)2000年建塔楼  -  金碧', '345万', '单价43994元/平米')
('https://image1.ljcdn.com/440100-inspection/6b7dc22f-fd34-4108-b1c5-00cf39cf1247.JPG.296x216.jpg', '金雅苑 2室2厅 590万', '金雅苑  | 2室2厅 | 104平米 | 南 | 精装 | 有电梯', '低楼层(共21层)2001年建塔楼  -  滨江东', '590万', '单价56731元/平米')
('https://image1.ljcdn.com/440100-inspection/e33836e6-2549-4eb4-8e23-a3176e021728.jpg.296x216.jpg', '晓港湾中层三房，安静望花园，采光通风好。', '晓港湾美华苑  | 3室2厅 | 92平米 | 南 | 简装 | 无电梯', '中楼层(共9层)1999年建塔楼  -  金碧', '310万', '单价33696元/平米')
('https://image1.ljcdn.com/440100-inspection/2973c654-f122-47eb-a32c-a0d4310037c9.jpg.296x216.jpg', '滨江西路鳌洲外街 3室1厅 330万', '滨江西路鳌洲外街  | 3室1厅 | 110.36平米 | 南 | 简装 | 无电梯', '中楼层(共9层)1990年建塔楼  -  滨江西', '330万', '单价29903元/平米')
('https://image1.ljcdn.com/440100-inspection/2077f8e7-71ec-43f9-a89e-8551cf4a5568.JPG.296x216.jpg', '南景园 3室2厅 400万', '南景园  | 3室2厅 | 93.55平米 | 西北 | 精装 | 有电梯', '低楼层(共12层)2001年建塔楼  -  江燕路', '400万', '单价42758元/平米')
('https://image1.ljcdn.com/440100-inspection/1c50b403-1dc9-43e8-b1b0-079187684c6e.jpg.296x216.jpg', '金碧花园第一金碧 2室2厅 305万', '金碧花园第一金碧  | 2室2厅 | 69.05平米 | 西 | 精装 | 有电梯', '低楼层(共22层)2000年建塔楼  -  金碧', '305万', '单价44171元/平米')
