('https://image1.ljcdn.com/440100-inspection/d69973c2-6a7e-47f9-9a0b-a5ddab1a5473.jpg.296x216.jpg', '中海金沙馨园 精装三房 交通便利', '中海金沙馨园二期  | 3室2厅 | 99平米 | 北 | 其他 | 有电梯', '高楼层(共18层)2008年建塔楼  -  金沙洲', '325万', '单价32829元/平米')
('https://image1.ljcdn.com/440100-inspection/74c91cc8-5c73-4e8c-ba02-a9c1e8886cf3.jpg.296x216.jpg', '景泰花园 低层三房 精致装修', '景泰花园  | 3室1厅 | 94平米 | 南 | 其他 | 无电梯', '低楼层(共9层)1997年建塔楼  -  大金钟', '280万', '单价29788元/平米')
('https://image1.ljcdn.com/440100-inspection/test-a9a26541-3cd0-47f5-a44c-35e2750278a3.png.296x216.jpg', '保利西海岸星海花园 高层采光好 过两年', '保利西海岸星海花园  | 3室2厅 | 90平米 | 北 | 其他 | 有电梯', '高楼层(共18层)2010年建塔楼  -  金沙洲', '285万', '单价31667元/平米')
('https://image1.ljcdn.com/440100-inspection/1a1bcc5f-604a-4c44-b5a6-8c2e01ea1cbc.jpg.296x216.jpg', '金碧新城 2室1厅 240万', '金碧新城  | 2室1厅 | 66.57平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2004年建塔楼  -  石井', '240万', '单价36053元/平米')
('https://image1.ljcdn.com/440100-inspection/1429d4ae-af91-4812-877e-ebfe18ca47e7.jpg.296x216.jpg', '云东花园 2室1厅 130万', '云东花园  | 2室1厅 | 49.99平米 | 南 | 精装 | 无电梯', '高楼层(共9层)1998年建塔楼  -  广园路', '130万', '单价26006元/平米')
('https://image1.ljcdn.com/440100-inspection/933ec484-1391-447d-9783-b5e857c670e9.jpg.296x216.jpg', '金碧新城 南向精装两房 证够五年', '金碧新城  | 2室1厅 | 64平米 | 南 | 其他 | 有电梯', '低楼层(共27层)2007年建塔楼  -  石井', '220万', '单价34375元/平米')
('https://image1.ljcdn.com/440100-inspection/6f03617e-b866-4f84-b336-70894e856cde.jpg.296x216.jpg', '民航小区 东南两房 交通便利 户型方正', '民航小区向云新街  | 2室1厅 | 70.98平米 | 东南 | 其他 | 无电梯', '中楼层(共5层)1995年建板楼  -  白云大道南', '230万', '单价32404元/平米')
('https://image1.ljcdn.com/440100-inspection/8e3d1b81-cbc0-4307-a227-58957064389d.jpg.296x216.jpg', '御金沙 精装两室 近地铁物业', '浔峰御金沙园  | 2室1厅 | 83平米 | 西南 | 精装 | 有电梯', '中楼层(共16层)2012年建塔楼  -  金沙洲', '300万', '单价36145元/平米')
('https://image1.ljcdn.com/440100-inspection/8b0df7fd-dc65-4ee8-b0e6-e40708b30621.jpg.296x216.jpg', '香柏广场 电梯精装3房 带入户花园', '恒骏花园香柏广场  | 3室2厅 | 93.36平米 | 北 | 其他 | 有电梯', '高楼层(共30层)2010年建塔楼  -  同和', '530万', '单价56770元/平米')
('https://image1.ljcdn.com/440100-inspection/850ef337-7972-4f43-8662-f39058f67606.jpg.296x216.jpg', '金碧新城 证满五年 精装修2房', '金碧新城  | 2室1厅 | 60.17平米 | 东 | 精装 | 有电梯', '中楼层(共11层)2004年建塔楼  -  石井', '226万', '单价37561元/平米')
('https://image1.ljcdn.com/440100-inspection/fb887680-29d5-47f2-aa96-65eb665f3d8b.jpg.296x216.jpg', '京华雅居 实用一房一厅 格局方正', '京华雅居  | 1室1厅 | 51.34平米 | 西 | 其他 | 无电梯', '高楼层(共9层)1999年建塔楼  -  新市', '100万', '单价19478元/平米')
