('https://image1.ljcdn.com/440100-inspection/6041f7ad-fc9d-431d-b322-271380747104.jpg.296x216.jpg', '小康人家 2室2厅 360万', '小康人家  | 2室2厅 | 89.76平米 | 西南 | 其他 | 有电梯', '中楼层(共11层)2002年建塔楼  -  坑口', '360万', '单价40107元/平米')
('https://image1.ljcdn.com/440100-inspection/316adaaa-b08b-42f5-ae8c-82ccac7485ad.jpg.296x216.jpg', '芳村花园 3室2厅 467万', '芳村花园  | 3室2厅 | 116.78平米 | 南 | 其他 | 有电梯', '中楼层(共30层)1999年建塔楼  -  龙溪', '467万', '单价39990元/平米')
('https://image1.ljcdn.com/440100-inspection/1fd6de6f-90b0-4903-9184-b7e0d601c3f4.jpg.296x216.jpg', '珠岛花园 南北对流 楼梯三房 通风透气 环境安静舒适', '珠岛花园  | 3室1厅 | 80.21平米 | 南 北 | 简装 | 无电梯', '高楼层(共9层)1995年建塔楼  -  大坦沙', '250万', '单价31169元/平米')
('https://image1.ljcdn.com/440100-inspection/33b8213c-dbbf-4139-aaa9-253258747aad.jpg.296x216.jpg', '荔港南湾 实用小三房', '荔港南湾  | 3室1厅 | 76平米 | 南 北 | 简装 | 有电梯', '高楼层(共28层)2008年建塔楼  -  南岸路', '320万', '单价42106元/平米')
('https://image1.ljcdn.com/440100-inspection/b93107ea-bbdb-410f-ac14-48fd0abe93e9.jpg.296x216.jpg', '新世界逸彩庭园 地铁5号线 配套完善', '新世界逸彩庭园E区  | 2室2厅 | 74平米 | 南 | 精装 | 有电梯', '中楼层(共20层)2007年建塔楼  -  滘口', '290万', '单价39190元/平米')
('https://image1.ljcdn.com/440100-inspection/de3d8a35-c3c5-4b12-9da9-0eafc71d5f6e.jpg.296x216.jpg', '凯粤湾电梯三房 南北对流', '新世界凯粤湾  | 3室2厅 | 92平米 | 东北 | 其他 | 有电梯', '低楼层(共33层)2012年建塔楼  -  滘口', '425万', '单价46196元/平米')
('https://image1.ljcdn.com/440100-inspection/0b7a5f72-2661-4580-b1e1-f63d001e7d5d.jpg.296x216.jpg', '鸿图苑 两房一厅 配套成熟', '鸿图苑  | 2室1厅 | 57平米 | 西 | 简装 | 无电梯', '高楼层(共9层)1995年建塔楼  -  汾水', '140万', '单价24562元/平米')
('https://image1.ljcdn.com/440100-inspection/829e1211-656e-4ac4-b89c-272e5e424f37.jpg.296x216.jpg', '宏天楼 南方茶叶城商圈 南向单位', '宏天楼  | 2室1厅 | 59.48平米 | 东南 | 其他 | 无电梯', '高楼层(共9层)2000年建塔楼  -  芳村大道', '155万', '单价26060元/平米')
('https://image1.ljcdn.com/440100-inspection/46c1cd18-29cc-40b2-a6a3-858982013930.jpg.296x216.jpg', '西关大厦 三房精装修', '西关大厦  | 3室2厅 | 98平米 | 南 | 简装 | 有电梯', '中楼层(共20层)1989年建塔楼  -  人民路', '290万', '单价29592元/平米')
('https://image1.ljcdn.com/440100-inspection/4e52d436-cc9f-4541-a8e7-9dfa8f4e5afb.JPG.296x216.jpg', '西华路电梯大4房 南向双阳台 带主套', '西华路  | 4室2厅 | 110.32平米 | 南 | 其他 | 无电梯', '低楼层(共9层)塔楼  -  西华路', '420万', '单价38072元/平米')
('https://image1.ljcdn.com/440100-inspection/0bdb1f25-4f35-4d0c-92fc-ff1ae7272bc4.jpg.296x216.jpg', '花地河湾 近1号线西塱地铁站 中空复式 高层园景', '花地河湾  | 5室2厅 | 83.48平米 | 东北 | 其他 | 有电梯', '高楼层(共22层)2009年建塔楼  -  东塱', '365万', '单价43724元/平米')
('https://image1.ljcdn.com/440100-inspection/0b28250f-1a48-4b2b-b812-bba180552c6a.jpg.296x216.jpg', '新世界逸彩庭园 3房装修 地铁5号线', '新世界逸彩庭园朗逸庭  | 3室2厅 | 93.09平米 | 东南 | 其他 | 有电梯', '中楼层(共23层)2007年建塔楼  -  滘口', '390万', '单价41895元/平米')
('https://image1.ljcdn.com/440100-inspection/test-fa600c1e-9cf8-4897-a19f-6650adb3209d.png.296x216.jpg', '中信西关海 高层望江三房 温馨舒适', '西关海  | 3室2厅 | 156平米 | 西北 | 其他 | 有电梯', '中楼层(共46层)2012年建塔楼  -  南岸路', '830万', '单价53206元/平米')
('https://image1.ljcdn.com/440100-inspection/5ff81793-31bc-4171-8c84-d29a847a35a7.jpg.296x216.jpg', '翠荷轩 3室2厅 398万', '翠荷轩  | 3室2厅 | 112.95平米 | 东南 | 其他 | 有电梯', '中楼层(共11层)2011年建塔楼  -  坑口', '398万', '单价35237元/平米')
('https://image1.ljcdn.com/440100-inspection/45c154ad-9821-4198-a2ad-df8127bd4633.jpg.296x216.jpg', '翠荷轩 3室2厅 470万', '翠荷轩  | 3室2厅 | 113平米 | 东南 | 其他 | 有电梯', '中楼层(共11层)2011年建塔楼  -  坑口', '470万', '单价41593元/平米')
('https://image1.ljcdn.com/440100-inspection/494e93b4-cf78-464b-9996-ad33822fc0a6.jpg.296x216.jpg', '珠岛花园 3室2厅 310万', '珠岛花园  | 3室2厅 | 99.58平米 | 东南 北 | 其他 | 无电梯', '低楼层(共9层)1995年建塔楼  -  大坦沙', '310万', '单价31131元/平米')
('https://image1.ljcdn.com/440100-inspection/64b07e8d-8544-40ee-8a96-71f981f32839.jpg.296x216.jpg', '富力广场 三房全明屋', '富力广场D区  | 3室2厅 | 101.33平米 | 北 | 其他 | 有电梯', '低楼层(共26层)2005年建塔楼  -  中山八', '520万', '单价51318元/平米')
('https://image1.ljcdn.com/440100-inspection/11e91ba9-940c-49b1-9aa6-0e4e4a909c64.jpg.296x216.jpg', '新世界逸彩庭园 配套完 精装修 厅出阳台', '新世界逸彩庭园朗逸庭  | 3室2厅 | 96平米 | 西北 | 其他 | 有电梯', '高楼层(共25层)2007年建塔楼  -  滘口', '410万', '单价42709元/平米')
('https://image1.ljcdn.com/440100-inspection/9694387b-3be9-4d5f-a655-e0cdc3955fba.jpg.296x216.jpg', '西关海 西南向望江望花园四房', '西关海  | 4室2厅 | 249.58平米 | 西南 | 毛坯 | 有电梯', '低楼层(共49层)2012年建塔楼  -  南岸路', '1200万', '单价48081元/平米')
('https://image1.ljcdn.com/440100-inspection/a0f636c1-c16d-49b4-850b-bfaf19841db5.jpg.296x216.jpg', '西关海 中层望江大单位 双卫 户型方正', '西关海  | 3室2厅 | 157平米 | 北 | 其他 | 有电梯', '中楼层(共46层)2012年建塔楼  -  南岸路', '795万', '单价50637元/平米')
('https://image1.ljcdn.com/440100-inspection/615fe240-72a8-4302-b417-1f44a767e49a.jpg.296x216.jpg', '电梯南向三房 望花园 保养新', '新世界凯粤湾  | 3室2厅 | 91.22平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2014年建塔楼  -  滘口', '415万', '单价45495元/平米')
('https://image1.ljcdn.com/440100-inspection/6bdf7962-e9f8-4aee-a9a6-885726c90311.jpg.296x216.jpg', '万兴苑 标准两房 方正实用 看房方便', '万兴苑  | 3室2厅 | 74.6平米 | 西南 | 其他 | 无电梯', '高楼层(共9层)2000年建塔楼  -  滘口', '200万', '单价26810元/平米')
('https://image1.ljcdn.com/440100-inspection/ddf93e73-9538-47ae-878d-f665c09ba66a.jpg.296x216.jpg', '*广场 交通便利 购物方便', '黄金广场  | 2室2厅 | 87.11平米 | 西南 | 其他 | 有电梯', '低楼层(共31层)塔楼  -  黄沙', '350万', '单价40180元/平米')
('https://image1.ljcdn.com/440100-inspection/216f5b7a-e2c7-4b78-9df7-dd3fe3cccb49.jpg.296x216.jpg', '新世界凯粤湾 2室2厅 335万', '新世界凯粤湾  | 2室2厅 | 75平米 | 南 | 其他 | 有电梯', '高楼层(共33层)2014年建塔楼  -  滘口', '335万', '单价44667元/平米')
('https://image1.ljcdn.com/440100-inspection/c531d410-cb0b-44e6-8904-0726452dd20b.jpg.296x216.jpg', '新世界凯粤湾 南向望花园 大三房 没住过', '新世界凯粤湾  | 3室2厅 | 122.48平米 | 东南 | 其他 | 有电梯', '高楼层(共20层)2012年建塔楼  -  滘口', '560万', '单价45722元/平米')
('https://image1.ljcdn.com/440100-inspection/f8d582d2-a9bb-4c44-a16f-81577bd1008a.jpg.296x216.jpg', '北向望花园 园林景观', '荔江美筑  | 3室2厅 | 91平米 | 北 | 精装 | 有电梯', '低楼层(共14层)2005年建塔楼  -  滘口', '350万', '单价38462元/平米')
('https://image1.ljcdn.com/440100-inspection/b74c4a3b-cdaf-4d76-8409-48cc4b632cd3.jpg.296x216.jpg', '丰年华庭 超靓隔局 楼龄新 精装修', '丰年华庭  | 3室2厅 | 105平米 | 西北 | 精装 | 有电梯', '高楼层(共15层)2008年建塔楼  -  茶滘', '400万', '单价38096元/平米')
('https://image1.ljcdn.com/440100-inspection/338f0ebc-7fa4-4dce-9dc1-c161ce82aa3d.jpg.296x216.jpg', '荔江美筑 电梯3房 交通便利 封闭小区', '荔江美筑  | 3室1厅 | 92平米 | 南 | 其他 | 有电梯', '中楼层(共14层)2007年建塔楼  -  滘口', '400万', '单价43479元/平米')
('https://image1.ljcdn.com/440100-inspection/a53d99db-3c9b-4fd4-98d0-b138bf5b5865.jpg.296x216.jpg', '恒润阁 1室1厅 105万', '恒润阁  | 1室1厅 | 40.11平米 | 南 | 其他 | 无电梯', '中楼层(共9层)1996年建塔楼  -  芳村大道', '105万', '单价26179元/平米')
('https://image1.ljcdn.com/440100-inspection/fcd58d5b-521a-46e1-a802-fd0fc2a61a11.jpg.296x216.jpg', '龙津东社区 楼梯低层  居家自住装修', '龙津东路六甫水脚  | 2室2厅 | 54平米 | 北 | 其他 | 无电梯', '低楼层(共3层)板楼  -  人民路', '143万', '单价26482元/平米')
('https://image1.ljcdn.com/440100-inspection/466ec220-a212-4f1b-ad05-efd78069536a.jpg.296x216.jpg', '恒荔湾畔 电梯东南向 少有放盘', '恒荔湾畔  | 3室2厅 | 120平米 | 东南 | 其他 | 有电梯', '中楼层(共31层)2008年建塔楼  -  芳村大道', '623万', '单价51917元/平米')
('https://image1.ljcdn.com/440100-inspection/541c0089-de5e-4c57-9688-259ee96f57f3.JPG.296x216.jpg', '金道花园 中层两套房打通 可分开卖', '金道花园  | 1室1厅 | 37.78平米 | 南 | 其他 | 无电梯', '中楼层(共9层)2000年建塔楼  -  鹤洞', '110万', '单价29116元/平米')
